PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralTrackingPV_224_na	.	CentralTrackingPV	Oahu	29526.48766	35.5218952	.
Oahu_CentralTrackingPV_225_na	.	CentralTrackingPV	Oahu	30351.06855	52.53690803	.
Oahu_CentralTrackingPV_226_na	.	CentralTrackingPV	Oahu	31176.35007	34.97856052	.
Oahu_CentralTrackingPV_227_na	.	CentralTrackingPV	Oahu	32010.67788	29.26784986	.
Oahu_CentralTrackingPV_228_na	.	CentralTrackingPV	Oahu	32862.87626	11.74690152	.
Oahu_CentralTrackingPV_229_na	.	CentralTrackingPV	Oahu	16702.9198	2.61394515	.
Oahu_CentralTrackingPV_22_na	.	CentralTrackingPV	Oahu	37174.49239	40.86313265	.
Oahu_CentralTrackingPV_230_na	.	CentralTrackingPV	Oahu	16407.61609	0.005133486	.
Oahu_CentralTrackingPV_231_na	.	CentralTrackingPV	Oahu	16170.73945	0.596715895	.
Oahu_CentralTrackingPV_232_na	.	CentralTrackingPV	Oahu	15991.14869	13.05694392	.
Oahu_CentralTrackingPV_233_na	.	CentralTrackingPV	Oahu	15869.77872	15.12866399	.
Oahu_CentralTrackingPV_234_na	.	CentralTrackingPV	Oahu	15810.37214	21.23438663	.
Oahu_CentralTrackingPV_235_na	.	CentralTrackingPV	Oahu	15813.24652	7.291001044	.
Oahu_CentralTrackingPV_236_na	.	CentralTrackingPV	Oahu	15877.36634	26.59555167	.
Oahu_CentralTrackingPV_237_na	.	CentralTrackingPV	Oahu	16003.73491	27.39541841	.
Oahu_CentralTrackingPV_238_na	.	CentralTrackingPV	Oahu	16188.12995	41.88882111	.
Oahu_CentralTrackingPV_239_na	.	CentralTrackingPV	Oahu	16432.6572	29.8222642	.
Oahu_CentralTrackingPV_23_na	.	CentralTrackingPV	Oahu	37773.4926	16.22182604	.
Oahu_CentralTrackingPV_240_na	.	CentralTrackingPV	Oahu	16729.38407	38.40863467	.
Oahu_CentralTrackingPV_241_na	.	CentralTrackingPV	Oahu	17077.86546	40.33784807	.
Oahu_CentralTrackingPV_242_na	.	CentralTrackingPV	Oahu	17479.73203	41.12655496	.
Oahu_CentralTrackingPV_243_na	.	CentralTrackingPV	Oahu	17922.78759	45.77722894	.
Oahu_CentralTrackingPV_244_na	.	CentralTrackingPV	Oahu	18413.63142	42.8826163	.
Oahu_CentralTrackingPV_245_na	.	CentralTrackingPV	Oahu	18938.08901	53.28223214	.
Oahu_CentralTrackingPV_246_na	.	CentralTrackingPV	Oahu	19504.73563	47.20494055	.
Oahu_CentralTrackingPV_247_na	.	CentralTrackingPV	Oahu	20097.96607	12.96313851	.
Oahu_CentralTrackingPV_248_na	.	CentralTrackingPV	Oahu	22054.39436	39.11349937	.
Oahu_CentralTrackingPV_249_na	.	CentralTrackingPV	Oahu	22760.46708	56.35459818	.
Oahu_CentralTrackingPV_24_na	.	CentralTrackingPV	Oahu	29955.46264	3.60646456	.
Oahu_CentralTrackingPV_250_na	.	CentralTrackingPV	Oahu	23479.39374	26.25746569	.
Oahu_CentralTrackingPV_251_na	.	CentralTrackingPV	Oahu	24217.06425	47.26877578	.
Oahu_CentralTrackingPV_252_na	.	CentralTrackingPV	Oahu	24980.38927	47.70434197	.
Oahu_CentralTrackingPV_253_na	.	CentralTrackingPV	Oahu	25750.89033	43.18919533	.
Oahu_CentralTrackingPV_254_na	.	CentralTrackingPV	Oahu	26535.6002	26.86070081	.
Oahu_CentralTrackingPV_255_na	.	CentralTrackingPV	Oahu	27342.32759	25.61986761	.
Oahu_CentralTrackingPV_256_na	.	CentralTrackingPV	Oahu	28152.03144	34.94834287	.
Oahu_CentralTrackingPV_257_na	.	CentralTrackingPV	Oahu	28972.60965	34.02905073	.
Oahu_CentralTrackingPV_258_na	.	CentralTrackingPV	Oahu	29812.54969	41.23039605	.
Oahu_CentralTrackingPV_259_na	.	CentralTrackingPV	Oahu	30652.36798	41.99070824	.
Oahu_CentralTrackingPV_25_na	.	CentralTrackingPV	Oahu	30251.10533	31.61903819	.
Oahu_CentralTrackingPV_260_na	.	CentralTrackingPV	Oahu	31500.61054	42.16572468	.
Oahu_CentralTrackingPV_261_na	.	CentralTrackingPV	Oahu	32366.27471	32.63012052	.
Oahu_CentralTrackingPV_262_na	.	CentralTrackingPV	Oahu	33229.51829	16.74957388	.
Oahu_CentralTrackingPV_263_na	.	CentralTrackingPV	Oahu	34099.37402	0.247885911	.
Oahu_CentralTrackingPV_264_na	.	CentralTrackingPV	Oahu	34975.34867	0.035459137	.
Oahu_CentralTrackingPV_265_na	.	CentralTrackingPV	Oahu	15764.11966	0.793833281	.
Oahu_CentralTrackingPV_266_na	.	CentralTrackingPV	Oahu	15450.94302	17.65477777	.
Oahu_CentralTrackingPV_267_na	.	CentralTrackingPV	Oahu	15199.22397	27.21667224	.
Oahu_CentralTrackingPV_268_na	.	CentralTrackingPV	Oahu	14878.74824	28.67006059	.
Oahu_CentralTrackingPV_269_na	.	CentralTrackingPV	Oahu	14815.43105	57.6175112	.
Oahu_CentralTrackingPV_26_na	.	CentralTrackingPV	Oahu	30926.21378	1.784240842	.
Oahu_CentralTrackingPV_270_na	.	CentralTrackingPV	Oahu	14818.56058	43.89138882	.
Oahu_CentralTrackingPV_271_na	.	CentralTrackingPV	Oahu	14887.02729	23.71792187	.
Oahu_CentralTrackingPV_272_na	.	CentralTrackingPV	Oahu	15021.79166	41.50378022	.
Oahu_CentralTrackingPV_273_na	.	CentralTrackingPV	Oahu	15218.15045	55.95410787	.
Oahu_CentralTrackingPV_274_na	.	CentralTrackingPV	Oahu	15478.07027	33.82085689	.
Oahu_CentralTrackingPV_275_na	.	CentralTrackingPV	Oahu	15792.80207	51.15712049	.
Oahu_CentralTrackingPV_276_na	.	CentralTrackingPV	Oahu	16161.5491	43.58382811	.
Oahu_CentralTrackingPV_277_na	.	CentralTrackingPV	Oahu	16585.69002	40.31130248	.
Oahu_CentralTrackingPV_278_na	.	CentralTrackingPV	Oahu	17052.04626	51.39454986	.
Oahu_CentralTrackingPV_279_na	.	CentralTrackingPV	Oahu	17567.29065	41.11671514	.
Oahu_CentralTrackingPV_27_na	.	CentralTrackingPV	Oahu	31303.1714	16.48902348	.
Oahu_CentralTrackingPV_280_na	.	CentralTrackingPV	Oahu	18116.31834	57.94393641	.
Oahu_CentralTrackingPV_281_na	.	CentralTrackingPV	Oahu	18707.92372	41.21800165	.
Oahu_CentralTrackingPV_282_na	.	CentralTrackingPV	Oahu	19325.67838	3.828276782	.
Oahu_CentralTrackingPV_283_na	.	CentralTrackingPV	Oahu	20654.65796	9.424621972	.
Oahu_CentralTrackingPV_284_na	.	CentralTrackingPV	Oahu	21353.11898	52.43855262	.
Oahu_CentralTrackingPV_285_na	.	CentralTrackingPV	Oahu	22081.67093	44.21857118	.
Oahu_CentralTrackingPV_286_na	.	CentralTrackingPV	Oahu	22822.03307	51.62328519	.
Oahu_CentralTrackingPV_287_na	.	CentralTrackingPV	Oahu	23580.31814	57.91609743	.
Oahu_CentralTrackingPV_288_na	.	CentralTrackingPV	Oahu	24363.6413	55.96857985	.
Oahu_CentralTrackingPV_289_na	.	CentralTrackingPV	Oahu	25153.08076	27.65939913	.
Oahu_CentralTrackingPV_28_na	.	CentralTrackingPV	Oahu	31706.26881	0.31817709	.
Oahu_CentralTrackingPV_290_na	.	CentralTrackingPV	Oahu	25955.90785	38.91188598	.
Oahu_CentralTrackingPV_291_na	.	CentralTrackingPV	Oahu	26780.14068	42.41340618	.
Oahu_CentralTrackingPV_292_na	.	CentralTrackingPV	Oahu	27606.37422	34.01820825	.
Oahu_CentralTrackingPV_293_na	.	CentralTrackingPV	Oahu	28442.73377	36.58669482	.
Oahu_CentralTrackingPV_294_na	.	CentralTrackingPV	Oahu	29297.90287	31.51624302	.
Oahu_CentralTrackingPV_295_na	.	CentralTrackingPV	Oahu	30152.09178	31.73981223	.
Oahu_CentralTrackingPV_296_na	.	CentralTrackingPV	Oahu	31014.0521	36.15734476	.
Oahu_CentralTrackingPV_297_na	.	CentralTrackingPV	Oahu	31892.95717	34.83953945	.
Oahu_CentralTrackingPV_298_na	.	CentralTrackingPV	Oahu	32768.70248	10.20664209	.
Oahu_CentralTrackingPV_299_na	.	CentralTrackingPV	Oahu	33650.50207	22.16825326	.
Oahu_CentralTrackingPV_29_na	.	CentralTrackingPV	Oahu	35773.91268	9.850221629	.
Oahu_CentralTrackingPV_2_na	.	CentralTrackingPV	Oahu	35001.34604	3.456943199	.
Oahu_CentralTrackingPV_300_na	.	CentralTrackingPV	Oahu	34537.89229	18.65330101	.
Oahu_CentralTrackingPV_301_na	.	CentralTrackingPV	Oahu	35440.50984	6.199226876	.
Oahu_CentralTrackingPV_302_na	.	CentralTrackingPV	Oahu	14499.49219	36.17517039	.
Oahu_CentralTrackingPV_303_na	.	CentralTrackingPV	Oahu	14231.01345	50.51610915	.
Oahu_CentralTrackingPV_304_na	.	CentralTrackingPV	Oahu	14026.73511	46.37729732	.
Oahu_CentralTrackingPV_305_na	.	CentralTrackingPV	Oahu	13888.33758	56.68625963	.
Oahu_CentralTrackingPV_306_na	.	CentralTrackingPV	Oahu	13820.54648	57.76690706	.
Oahu_CentralTrackingPV_307_na	.	CentralTrackingPV	Oahu	13823.96354	44.37004831	.
Oahu_CentralTrackingPV_308_na	.	CentralTrackingPV	Oahu	13897.39326	40.43371307	.
Oahu_CentralTrackingPV_309_na	.	CentralTrackingPV	Oahu	14041.72123	48.85818334	.
Oahu_CentralTrackingPV_30_na	.	CentralTrackingPV	Oahu	36375.82759	56.51729297	.
Oahu_CentralTrackingPV_310_na	.	CentralTrackingPV	Oahu	14251.65087	36.51203188	.
Oahu_CentralTrackingPV_311_na	.	CentralTrackingPV	Oahu	14528.93224	54.65746151	.
Oahu_CentralTrackingPV_312_na	.	CentralTrackingPV	Oahu	14863.83395	57.93796693	.
Oahu_CentralTrackingPV_313_na	.	CentralTrackingPV	Oahu	15255.11017	38.45968787	.
Oahu_CentralTrackingPV_314_na	.	CentralTrackingPV	Oahu	15703.80878	32.01334361	.
Oahu_CentralTrackingPV_315_na	.	CentralTrackingPV	Oahu	16195.63349	34.22849419	.
Oahu_CentralTrackingPV_316_na	.	CentralTrackingPV	Oahu	16737.31622	38.44285396	.
Oahu_CentralTrackingPV_317_na	.	CentralTrackingPV	Oahu	17312.73578	54.16462383	.
Oahu_CentralTrackingPV_318_na	.	CentralTrackingPV	Oahu	17930.92417	7.584396286	.
Oahu_CentralTrackingPV_319_na	.	CentralTrackingPV	Oahu	19247.17299	3.542361707	.
Oahu_CentralTrackingPV_31_na	.	CentralTrackingPV	Oahu	36987.81383	15.80458932	.
Oahu_CentralTrackingPV_320_na	.	CentralTrackingPV	Oahu	19953.74463	50.26948965	.
Oahu_CentralTrackingPV_321_na	.	CentralTrackingPV	Oahu	20675.94068	57.81104394	.
Oahu_CentralTrackingPV_322_na	.	CentralTrackingPV	Oahu	21427.57226	33.41417897	.
Oahu_CentralTrackingPV_323_na	.	CentralTrackingPV	Oahu	22189.81004	56.89017078	.
Oahu_CentralTrackingPV_324_na	.	CentralTrackingPV	Oahu	22969.01606	58.21803327	.
Oahu_CentralTrackingPV_325_na	.	CentralTrackingPV	Oahu	23772.52948	56.66367654	.
Oahu_CentralTrackingPV_326_na	.	CentralTrackingPV	Oahu	24580.9976	14.46220609	.
Oahu_CentralTrackingPV_327_na	.	CentralTrackingPV	Oahu	25401.94794	32.32477979	.
